sector;province;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07
 Meyve Sebze Mamulleri ;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6.732;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.06109;48.64919;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;23.667;48.52122;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;46.7365;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Mobilya, Kağıt ve Orman Ürünleri;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;105.47604;0.0;0.0;11.585;0.00589;0.05664;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7e-05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;15.21;0.0;0.0;0.0;0.0;5.23;0.0;0.0;0.0;3.315;0.0;0.0;0.0;0.0;0.00354;0.0;4.11;0.0;0.0;0.0;0.0;0.0;6.4092;0.0138;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;38.305;3.45939;2.25;0.0;3.37;2.54028;0.79451;2.74231;7.57385;0.0302;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.65036;0.0;20.55453;0.84;4.04;0.0;0.0;0.0;0.0;5.62577;6.99087;0.01633;16.56094;0.0;1.91586;27.375;8.7281;14.24298;217.9456;0.0;4.11803;38.49372;37.68654;29.11559;1.81607;19.03328;88.11405;0.0;0.0;0.34708;0.0;0.70983;3.79645;13.72526
 Mücevher;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;61.05;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Otomotiv Endüstrisi;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;29.49461;0;0;0;0;0;0.0;31.2;0.0;0.0;0.0;0.0;10.768;35.0;0.0;0.0;0.0;0.0;0.202;0.0;0.03;8.39;0.0;7.33401;11.375;0.0;0.0;0.57;21.0;0.0;0.0;1.275;0.0;0.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.83;42.97444;0.0;0.42;0.0;0.0;0.0;4.672;48.72916;0.0;0.0;0.0;0.0;1.37;0.0;0.0;0.0;0.0;21.92434;0.0;0.0;26.56165;20.44952;0.0;26.59809;0.0;40.42713;23.92488;23.22;16.71;20.43635;25.01191;25.4062;55.10292;34.272;0.0;47.30288;0.0;10.28108;0.0;0.0;29.62442;22.36242;0.0;20.38009;9.95024;61.39085;4.44955;0.0;0.0;0.0;82.50286;59.47133;39.931;0.0;0.0;11.29039;0.0;13.205;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Su Ürünleri ve Hayvansal Mamuller;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;42.59;46.225;77.77;185.58832;137.6;149.3;81.5;27.65131;51.0;66.975;107.4;107.4;0.0;0.0;28.0;34.6946;0.0;0.0;280.0;112.0;0.0;56.0;0.0;0.0;0.0;23.2;0.0;0.0;16.84577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.77686;7.00114;16.43138;14.23526;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Tekstil ve Hammaddeleri;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.14998;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.14998;0.0;5.21698;0.0;0.0;0.0;0.0;0.0;0.06;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.171;0.0;0.0;2.165;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.615;0.0;0.0;0.0;0.0;0.0;0.3946;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.138;0.0;0.0;0.0;0.0;0.0;0.2635;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;4.392;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;22.50202;0.0;0.05;0.0;0.0;0.0;0.0;0.0
 Yaş Meyve ve Sebze  ;KIRIKKALE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0;0;0;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7.43814;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
 Çelik;KIRKLARELI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100.94201;189.73572;0;0;0;0;0;114.91835;131.75964;179.51584;117.47197;100.94201;101.34088;130.05906;104.41156;84.71157;142.28166;132.4868;81.90121;85.11039;83.51183;81.98657;37.91843;108.0289;56.36797;106.21146;71.4705;55.53102;99.17962;59.25171;209.23218;72.1307;71.69093;69.76522;520.881;74.68783;51.89893;55.64724;24.02531;50.75592;45.71073;22.85167;45.50702;52.134;45.33341;21.7129;21.7129;40.33763;61.01321;25.95585;46.44721;24.7319;87.79891;27.33954;34.52687;44.05428;108.31604;56.07018;53.12742;40.28188;6.06096;225.2538;25.77653;21.72597;26.35171;136.02134;37.49221;42.80782;43.57042;25.62671;18.43392;90.96778;66.12043;31.17029;54.65283;252.09488;21.96406;56.97096;71.41963;59.95035;46.74692;72.14431;43.9884;89.3854;73.38817;97.70843;415.65906;71.79528;104.32054;95.85669;95.64489;106.82492;172.28309;155.79191;163.69183;200.04019;523.42375;216.43025;110.76304;88.50798;521.5617;104.67615;362.93573;166.39657;179.95209;20.2962;459.20029;152.83545;577.43085;121.83536;152.06832;172.86735;209.86593;221.20583
 Çimento Cam Seramik ve Toprak Ürünleri;KIRKLARELI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.56404;0.40671;0;0;0;0;0;0.39777;0.06765;0.21368;9.01551;10.56404;0.0;0.01092;0.00836;25.80434;0.03986;0.0;6.01131;0.05116;0.29849;0.10662;0.22548;1.33257;0.33703;0.0;63.73094;63.75491;63.73059;0.0;127.46118;63.73059;254.92236;254.92298;63.73059;109.25244;45.28921;197.49476;109.1778;115.22934;57.60264;230.09406;172.80792;50.82036;0.0;115.20527;115.20527;0.0;0.0;72.5868;101.62152;152.43228;268.44011;269.52849;253.97658;162.51642;146.28763;107.74764;165.11213;177.99233;0.495;354.02796;0.0;9.32871;250.10202;187.75821;261.49161;197.81298;331.22704;148.74931;569.54157;765.20167;734.91821;468.78291;402.99562;218.02778;523.51925;1449.16534;1520.34562;1697.88292;1232.54493;912.34725;1084.55158;202.22044;459.36725;650.17098;834.16819;640.39818;558.24288;560.87947;533.58769;455.93559;165.4816;100.291;64.0697;24.07267;37.4297;365.02991;65.7766;207.55725;347.12018;18.70588;30.47298;28.41204;77.46533;52.60353;0.0;0.0;18.09453;616.00395;844.94871;727.83891;788.96105;1246.25037
 Demir ve Demir Dışı Metaller ;KIRKLARELI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.1281;28.5254;0;0;0;0;0;12.63396;3.79719;13.95568;1.20669;18.1281;28.48998;26.0765;18.70473;9.75556;16.24878;1.24836;18.85558;3.16236;34.64425;1.53635;13.53116;3.17131;16.89171;6.10102;12.86105;29.18523;15.86703;17.56357;1.44073;13.78009;0.28639;1.55589;11.00378;61.20312;28.7747;130.77372;28.20225;47.02129;60.27397;18.24443;102.31644;1.5323;172.39388;55.78481;55.78481;90.43974;89.32748;87.0768;53.6513;48.29052;91.33257;140.29426;93.71195;60.13481;151.88478;32.77716;7.77388;43.76072;75.01544;55.24468;78.09666;238.07127;67.65164;158.92484;190.62273;170.51694;200.85215;141.69578;55.53777;126.90549;114.29879;225.40065;127.13457;17.44475;287.01776;221.03978;346.49289;365.79095;302.23928;221.40098;351.70333;488.65503;352.44972;394.05897;456.44064;444.34691;347.07718;320.83794;555.23113;455.07134;356.00459;686.97939;246.90798;747.89398;1137.96173;1895.11347;1315.17224;1045.62866;869.72344;743.65502;929.8157;1351.2329;501.53235;959.84187;1179.27837;642.77587;236.98025;454.90493;551.83182;469.72111;379.33095;431.53747
