sector;province;2012-02;2012-03;2012-04;2012-05;2012-06;2012-07;2012-08;2012-09;2012-10;2012-11;2012-12;2013-01;2013-02;2013-03;2013-04;2013-05;2013-06;2013-07;2013-08;2013-09;2013-10;2013-11;2013-12;2014-01;2014-02;2014-03;2014-04;2014-05;2014-06;2014-07;2014-08;2014-09;2014-10;2014-11;2014-12;2015-01;2015-02;2015-03;2015-04;2015-05;2015-06;2015-07;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09;2016-10;2016-11;2016-12;2017-01;2017-02;2017-03;2017-04;2017-05;2017-06;2017-07;2017-08;2017-09;2017-10;2017-11;2017-12;2018-01;2018-02;2018-03;2018-04;2018-05;2018-06;2018-07;2018-08;2018-09;2018-10;2018-11;2018-12;2019-01;2019-02;2019-03;2019-04;2019-05;2019-06;2019-07;2019-08;2019-09;2019-10;2019-11;2019-12;2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07
 Çelik;ADANA;4191;8254;6893;4727;3392;3059;2758;4097;4068;5065;3498;4237;4273;4096;6620;6140;4640;4828;2963;4207;3718;4451;5323;6072;5394.33189;5169.24034;6107;7372;5777;5589;3953;4949.8372;6787.20488;4728.80142;5308.33418;5394.15189;6141.00735;5906.9063;9506.22826;8432.33432;5285.46344;5905.98357;4206.2552;4306.57752;4811.13185;3981.92171;6466.88105;5594.50298;5616.97939;5154.23032;7908.33689;5827.75017;6461.35555;2754.3014;6311.74101;4324.84797;3720.25569;6332.61482;4027.25142;5874.30328;5619.4455;4917.80367;4989.20963;5753.10864;4716.28686;4452.3192;6924.85967;5116.26984;7119.61347;6790.0832;6790.0832;6085.02396;5932.84351;6295.61001;6879.06405;11720.34177;10947.05708;6017.28641;6178.8941;6270.39682;6361.32545;6935.33624;5660.36935;5963.44064;4280.33836;5596.49956;6511.49878;6943.28138;4786.49295;7198.18738;5494.27713;8083.44057;9163.59459;6644.94579;7061.22883;6496.21179;6137.56084;7731.44237;4239.46816;5890.0174;7347.8661;5915.72762;5118.76761;9139.76037;6876.35723;6374.94604;6438.88072;7288.58119;7100.21016;8105.02863;7127.60786;8762.71346;10390.73546;7211.63148;10888.68862;10446.05891;10010.00981;10873.231;12786.02917;9962.95768;13560.88847;15300.03632;15977.43728;14094.7853;18578.40086;8961.7935;9718.31095;15636.45847;9483.185;9518.62275;12086.57523;8770.3539;7738.79143;9981.32835;10581.67658;12726.69741;8765.57129;12824.25438
 Çimento Cam Seramik ve Toprak Ürünleri;ADANA;1054;1721;1684;3079;2064;1625;1969;1902;3132;1964;1382;1816;1820;2116;3011;2435;2050;3024;2765;1597;1544;2101;2156;2413;1984.94303;1879.67529;2696;2581;3130;1748;2809;4114.13456;4260.99711;2663.21964;2967.07749;1984.76678;2234.72444;3546.3764;2876.90477;2351.0723;2780.58306;3048.66397;1965.40394;1284.50229;2234.91046;2404.60508;2124.82969;1312.73249;1791.50844;2841.10246;1864.39768;2691.41559;3173.86738;1498.94123;3153.30475;2250.42611;2136.62439;2186.49656;1993.40942;1635.67959;2716.52183;2604.58874;2647.24917;3498.0301;3422.96416;1701.09749;3084.67826;2699.18366;3685.34799;5250.31607;5250.31607;3055.82836;2937.19065;3885.96887;4880.41941;5601.11369;4775.44528;4819.34995;3606.19238;3296.86803;1654.5688;2455.36349;5741.26923;4507.34196;3108.97188;5377.28474;5035.54034;4743.38618;1722.72125;4282.60653;2382.53714;3313.1678;4519.06511;6926.09067;3883.38434;4418.20892;3275.85956;4708.75851;2567.72375;893.51722;764.59614;837.88975;804.00843;861.04765;1318.60689;994.42893;1630.25138;1243.12454;1222.41451;842.79287;966.71457;409.0128;799.31588;767.86918;612.77066;814.97966;811.9626;907.90855;590.63394;716.85098;774.0528;974.92292;980.77334;881.61746;1567.50541;918.5055;1152.29305;907.95541;1051.92011;1203.88821;906.66713;730.79494;915.50854;1329.7697;1245.79294;1250.35905;1517.35083;1275.11808
 Demir ve Demir Dışı Metaller ;ADANA;3475;2591;2332;1633;1618;2084;3387;2374;2262;2499;2313;2110;2109;2735;2723;3447;3194;4012;2222;3190;2627;2928;2951;3167;2378.24142;2303.31104;3294;2870;1881;1760;2499;1962.22581;1989.42186;2731.98575;1904.5069;2244.96638;1980.05127;2538.52271;2791.38059;1759.76543;2273.67178;2675.01822;2290.17847;1833.51264;2472.09087;2416.17786;2469.74597;2110.77537;2058.45934;1988.3751;2339.84063;2167.29493;2312.59418;1524.86478;2328.0625;2778.50427;2680.63589;3715.33443;3694.33548;1997.84166;2011.88032;3367.882;3221.42316;3306.30585;2612.43906;2499.37028;3930.30084;1994.2993;2813.1053;3471.43366;3471.43366;2160.4257;2761.93409;3284.10094;3218.45918;3566.8785;3022.67566;2766.2033;2168.14306;3427.17461;3175.82772;4069.31573;3472.71282;3829.25661;3620.76437;3662.13938;4503.52616;5975.9837;3864.10468;5531.77192;4079.75968;4638.08111;5744.46662;5644.55313;5323.57657;5481.94909;5541.38472;4583.82637;3849.88685;3916.98754;4881.49497;5597.34957;5184.67939;5034.76438;5662.92874;5540.83157;6449.34235;5620.34048;5361.1595;7093.2996;6547.4437;5472.41089;6859.09681;5462.32847;7631.50654;6847.88832;8923.82303;8037.03159;8805.56577;7597.98622;9617.73966;12867.18057;11234.11146;10024.73474;9846.49276;7599.89617;9510.81481;9252.91609;9774.28879;8565.1919;8530.76094;7312.55724;6304.33231;9785.83292;6851.78297;8351.49596;6348.11466;6310.9602
 Deri ve Deri Mamulleri ;ADANA;326;159;146;170;52;58;66;41;98;676;642;177;177;69;278;222;113;416;185;100;124;86;58;104;283.77225;355.20986;88;233;205;241;169;309.40794;188.53689;226.83633;185.03009;283.77225;283.9698;407.58769;450.69405;400.81043;266.86153;330.96132;261.74886;381.47399;173.19728;111.98325;260.70585;253.42389;406.59454;574.83206;261.09909;166.67364;568.41637;656.11557;1161.58439;418.99139;132.17586;186.1161;266.87565;530.10677;160.56724;301.17396;180.22904;797.04539;128.09678;462.82132;492.10401;392.25319;343.81564;425.05649;425.05649;1344.79574;1123.38896;989.63905;606.86114;1260.25086;871.61533;918.55704;764.34244;606.62002;397.92428;306.79483;441.6175;1256.69401;932.73121;778.35597;414.13337;1495.48991;945.88916;1276.27096;1198.49297;1287.86622;451.01797;309.88017;816.59328;1394.676;818.20469;680.00213;249.5392;697.85298;1182.75905;829.29164;821.03441;835.86928;398.13822;892.45252;1262.51665;918.72321;1464.82989;1075.66833;838.48733;942.87444;1405.78633;1183.8788;1142.19307;690.02278;513.03724;511.52909;1397.6392;883.68574;1522.14273;1343.09869;807.40734;590.68892;953.33394;1182.75785;1547.86485;1721.49035;1299.07526;861.99716;1181.57858;1233.93816;1099.00396;1913.04635;619.04486;630.06171;914.44401;864.79318
 Diğer Sanayi Ürünleri;ADANA;21;18;39;23;63;10;11;4;36;5;31;12;12;69;115;34;88;129;31;15;48;5;5;51;1.43684;182.59217;335;189;98;58;25;32.96804;22.99935;8.10948;17.74093;1.43684;3.9347;71.67163;251.24896;278.7838;177.30024;82.27095;116.97136;15.33346;16.56683;102.47381;4.44522;1.91135;7.50047;498.99734;295.4577;115.29631;269.58551;83.70641;49.72351;10.59686;16.1862;18.29063;26.82349;4.44489;65.6857;173.5624;227.23227;277.01309;123.04094;262.16282;6.15483;51.44094;13.7785;16.68028;16.68028;37.68764;27.86688;547.48882;398.27929;323.80947;24.69035;64.7112;9.58875;5.47097;10.57901;29.53721;8.44816;5.29198;163.69898;28.58429;109.02444;76.82514;93.5012;54.84953;20.43514;4.73289;61.50855;29.15322;49.58419;41.39003;93.0905;61.77906;105.72677;110.75906;89.46539;53.52069;27.5082;130.10176;170.29075;61.19325;157.86464;23.90636;7.29509;120.07217;94.09943;60.52517;125.37611;218.77927;66.08864;18.24991;74.87119;202.12912;60.22583;8.49726;11.07684;133.92913;172.65692;157.34631;35.52915;58.59217;71.44368;21.3414;96.6794;170.57097;60.60889;25.71561;78.36676;39.49365;122.43809;142.78382;29.50838;30.71505
 Elektrik ve Elektronik;ADANA;1845;2550;2231;2416;2027;3195;3110;4435;2877;3197;2588;1894;1894;1831;1576;2402;1999;2369;2526;3075;2579;3384;2295;2330;0.0;0.0;2936;2437;2615;4222;4318;3664.86375;3351.93917;2767.25181;3835.0635;2994.99791;2038.95485;2509.63621;3464.9493;2550.83156;2776.3522;1820.21423;2935.98762;1452.68506;2033.15098;2114.70691;1738.68206;2156.04621;2084.70458;3175.3531;3606.04111;2329.69281;2677.33047;1539.78188;2798.93434;2497.43317;4142.35197;1513.04148;3072.9275;1885.94132;1455.49561;3016.23048;2041.99578;2348.1128;1855.5019;1537.06791;3196.71115;1935.84237;2784.27017;3217.63865;3217.63865;3045.34721;3114.45731;5081.84426;4424.51694;3468.81189;3020.82624;3722.80985;3293.61042;2686.66843;3278.08085;3184.81964;3519.81747;3198.11249;2621.12066;3716.82672;2238.88707;2261.74571;1360.08379;2970.24213;3083.37949;2745.93201;3033.72147;2768.83179;2984.27158;2886.84887;4384.07443;2398.58121;2252.89124;4320.09036;3230.85903;3784.72702;1479.12444;2188.09909;3174.8887;2373.99769;2116.68864;2530.35451;2796.83782;2700.33458;2517.55202;2256.79868;3866.44671;2348.33097;2319.17775;3014.23401;2627.85242;3326.72514;3024.6792;1276.89712;3786.65188;3095.38165;6227.94869;4421.95162;4068.23534;2672.56783;3653.74142;4056.58379;6397.69712;5041.00282;8910.04023;6361.9539;4341.75228;7737.90562;7062.11017;5971.5916;6196.17565;5582.02127
 Fındık ve Mamulleri ;ADANA;66;124;60;32;113;112;0;39;62;179;73;51;51;94;89;98;58;151;7;261;11;167;76;34;3.58617;34.05406;205;27;119;115;22;44.06383;151.1416;279.07842;112.72622;3.58617;52.63888;159.75952;54.67211;280.82995;54.34984;0.0;0.0;142.41294;162.81744;164.81389;138.04777;96.25567;168.49998;69.08666;67.49717;103.95058;122.58487;74.43884;18.52057;131.4041;162.02195;46.04068;199.64417;132.03752;171.90382;137.62647;60.01733;158.77867;83.72178;72.06831;89.93351;81.11504;140.57132;18.16101;18.16101;69.50276;66.80548;100.85737;124.25774;126.26205;79.82451;109.65209;39.29915;175.54071;68.52698;81.36037;82.90897;116.45371;89.68247;61.19684;41.21937;174.45144;30.875;84.98166;55.63026;217.52571;64.75972;107.57855;149.64517;80.41631;109.09383;47.87741;90.64687;49.3062;44.41563;51.32292;35.28821;92.68395;121.59472;125.35397;60.04469;111.74327;73.77308;61.48883;194.9216;99.97354;307.78021;78.87403;163.59313;461.14382;319.50841;106.33576;162.6843;89.96092;92.5216;173.03928;113.08119;82.17427;82.95274;2.48676;150.54122;118.22731;325.61626;136.34586;138.15639;149.96539;60.52272;129.55609;79.54693;130.97367;112.28696;67.21963
 Gemi, Yat ve Hizmetleri;ADANA;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0.0;0.0;0;0;1;0;0;0.0;1.89808;0.0;0.0;0.0;0.0;0.0;0.19043;4.0383;1.96021;0.0;4.0932;2.41358;0.0;5.71047;0.0;0.0;0.0;8.78069;2.03892;1.41362;0.0;6.78827;5.3048;0.0;0.59949;0.0;0.0;0.0;22.54;0.01696;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.42074;0.42074;0.0;0.0;0.53567;0.0;0.06417;0.00956;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;39.10572;0.00991;0.0;0.59588;10.23343;0.0;0.0;0.2115;0.12002;0.01003;0.0;0.33119;0.0;12.79597;8.4277;0.0;0.0;0.78659;0.0;0.6764;3.39699;0.0;0.0;0.10209;0.0;1.27888;0.0;0.0;0.0;0.45822;8988.58484;11.06243;0.0;0.0;12.28419;18.84385;0.0;1.96995;10.17294;0.43594;0.0;0.8052;0.0;0.0;0.0;0.0;0.0;0.0;0.0;81.43992;84.28347
 Halı ;ADANA;163;118;274;106;150;436;267;147;386;256;408;168;168;135;105;437;67;683;175;254;341;210;382;123;262.88903;643.23609;598;610;436;727;318;454.46343;396.86;148.07533;511.05773;262.88903;179.17371;439.29213;277.36747;266.65343;493.67534;218.47989;525.48366;409.92968;313.24323;230.11286;400.93829;236.63216;78.72893;154.49022;45.07736;41.43678;85.77214;42.11344;42.29948;201.91053;97.4268;144.33603;224.81694;79.25981;350.37805;234.06801;168.79576;91.53215;333.93866;67.77435;117.74512;125.89847;401.3775;370.89971;370.89971;379.64197;257.17906;688.52582;387.83216;431.85682;279.32777;346.1557;213.68235;386.03556;412.59055;98.76355;135.45455;136.56394;22.53524;454.74036;269.83312;473.69787;348.59893;346.05933;105.79498;377.96696;499.8261;627.78134;152.15002;196.01675;133.75503;129.47101;93.80278;91.5657;210.3746;246.14715;73.33478;424.11758;254.5952;189.08084;128.89991;27.89045;137.95077;174.58089;190.26004;159.89986;194.97395;155.66262;117.62166;188.31371;166.64145;291.37414;313.92509;257.19857;308.42047;66.18683;164.51779;89.47455;259.18724;153.18994;163.87778;231.27409;154.11901;107.06086;179.58639;78.57896;19.17585;312.03114;194.60817;172.64011;92.37126;155.84989
 Hazırgiyim ve Konfeksiyon ;ADANA;5860;6269;5760;5970;8041;6218;5768;5241;6473;7548;9009;9286;9286;8891;6621;7967;7213;8762;7804;5754;5545;7153;5712;7078;6071.84576;8022.81166;7298;7879;5590;7647;7490;8156.63485;7065.90402;7504.7605;7587.08241;6071.84576;5540.64649;4854.7438;4592.08862;6258.97807;7260.33691;7826.01802;7858.32601;7188.83752;7249.79696;8487.07512;9055.1383;9928.7224;10756.7305;7912.62538;6840.23803;9271.17615;8097.26235;6911.20559;8477.53516;8195.10551;8676.35151;7965.26235;10246.8992;7945.54922;6795.24881;7734.74154;10477.07376;10625.36507;10681.57492;11515.24487;11613.78354;11038.62587;9824.99381;10606.3526;10606.3526;8816.10864;10162.87446;14140.55211;11584.6077;13625.63486;11853.11276;13887.41018;11188.59633;16058.06704;16097.73225;11707.78586;8770.39726;12701.5383;11226.72933;13365.86601;13267.70869;16415.73493;11273.42963;14972.60336;13238.13229;11967.50013;11755.6097;10449.42949;10811.27996;10975.31266;11812.4349;9711.30992;6683.93599;20628.71661;40737.18142;41536.97273;23860.07292;19697.45597;13584.66155;9379.98057;9852.21112;10344.30429;9157.59194;12866.62103;13530.86454;8103.88319;11598.72658;12803.96359;13894.5569;15191.30431;15066.5728;9662.62282;9934.41622;6741.7959;8465.30666;13785.05259;13720.71795;12284.84943;14262.66466;11529.85358;14815.66995;14850.2815;13127.32415;8756.38477;9019.17911;9947.65142;7635.41353;14001.80517;12935.61722;11804.82837;13561.67142;12716.25944
 Hububat, Bakliyat, Yağlı Tohumlar ve Mamulleri ;ADANA;14874;11083;10421;8115;9938;8705;8225;10214;15783;29464;14942;16543;16598;13977;13162;17276;13339;11565;10673;11732;11452;15934;16987;17114;17358.56412;25367.98806;15095;19835;16344;13746;16696;16696.81776;16542.60022;18597.087;18532.61253;17358.56412;14240.8886;16435.27871;15802.12435;12491.94347;13504.10523;12386.91413;14447.6653;14272.53578;19233.37395;17981.13033;12570.90642;10448.85257;11850.90778;14722.83649;9350.45865;10100.54319;9726.72377;9067.17929;13603.53661;12835.4952;10723.94145;19504.43331;13724.77407;12284.02861;13920.76176;14718.3621;12468.12387;15685.85375;15569.20904;16991.15537;15793.36518;16537.80246;18271.59859;25706.56062;25706.56062;22726.34232;19582.74782;18092.49449;16467.63042;19811.89995;14589.48488;18406.84533;19570.36556;16254.81404;24097.25483;29407.03587;20076.26504;20716.51559;19114.18079;18907.53769;20942.1296;19810.99406;13637.453;22334.49298;20612.63112;17804.80736;35237.40907;20648.02187;21297.2555;22613.21645;19197.05847;23343.13255;20477.08213;12572.52441;13815.53607;15000.17856;20335.37777;17328.0241;25779.59641;26419.4348;27343.16411;27330.44181;22943.8287;24514.84353;22370.24687;22856.69965;23778.27539;22001.46403;26102.77498;22359.522;34759.07292;43710.85867;32591.77206;26094.28155;25514.60191;31700.2375;27980.37067;25794.7056;27581.39692;30709.4844;28917.06128;24933.88273;25769.2158;43504.07401;41367.99971;33731.81917;27576.53956;28275.12513;23081.46373;27477.54254;22043.47881;32413.03042
 İklimlendirme Sanayii;ADANA;2200;4421;2991;4098;2952;3100;3957;3087;3794;2959;3004;2488;2493;3374;3402;4988;4102;5209;2631;3340;3471;3273;3133;2257;2439.5265;3391.5469;3663;3893;3915;3743;3310;3760.2592;3648.18786;3316.63988;4188.11442;2438.0685;2726.23507;2998.8361;4084.88015;2582.81504;3322.68337;2929.31118;3174.42345;2539.78707;3832.50574;3153.43195;3037.83004;2133.9281;1770.0142;3188.26392;3025.0462;4440.8062;3311.07353;2293.3871;3780.58931;2696.72266;3415.00556;3405.62936;2656.22545;2188.25501;3114.84381;3692.66426;3110.55835;2894.27201;2920.88526;2391.22088;3923.02696;3190.3406;3631.028;3078.15965;3078.15965;2382.73613;4454.55754;3793.93492;3636.90819;3212.66422;2643.24378;3693.89924;3126.90701;4299.77463;4467.26123;4006.15377;4449.17087;3660.58188;4468.88237;4052.65374;3886.54819;4937.87021;2597.00006;3946.8925;3679.82127;4639.69344;6464.61113;5841.43395;5824.70797;4714.94648;4427.24111;4232.80351;4182.97646;4380.537;3353.15085;3954.24523;3079.29088;4492.15538;4403.43017;4256.3708;4337.55854;3485.22078;4478.77525;5934.49637;7266.989;4119.41097;5965.28761;4521.83062;6170.67144;5445.56795;5275.50216;5825.36181;5173.92436;3749.44881;4469.22928;5154.43687;3696.39094;5235.12282;5842.71242;3337.94152;3717.30956;6462.31104;4412.84687;10643.03156;7143.89395;3848.3446;3266.71129;5698.6014;4578.97712;5965.39066;5199.4628;3713.75581
 Kimyevi Maddeler ve Mamulleri  ;ADANA;27135;28290;26627;24388;20189;20891;23695;25282;23886;21725;21567;23829;23846;23214;27587;27343;23486;27605;25792;29776;22997;25676;25355;28423;21272.84774;27245.01455;30053;27702;29178;27658;30084;26293.98305;26097.22793;22046.78224;23332.90837;21000.32938;20244.47339;23390.33144;20928.57252;24232.08158;25831.93458;26161.20869;22359.74503;24163.92479;19796.19031;21150.67138;24227.26219;17782.16175;20435.1817;20905.05396;21965.48153;22744.92691;27665.56497;16780.98995;25435.55413;23876.99745;23336.69753;21513.15801;21389.44032;20119.59892;21475.87824;25483.83911;23474.17665;25694.64053;22234.97869;23130.9832;30548.78708;26138.07915;26948.50738;26453.86991;26453.86991;24253.19628;23175.07612;30252.38878;28519.73944;28355.02913;25886.75836;27098.02938;26932.85968;29371.32747;31547.7921;29451.12775;26811.15474;26284.30507;28570.77559;28193.79954;28274.99903;30974.93422;22264.10933;26010.54025;21821.03716;25882.31922;27667.77649;21879.49849;27514.6976;24157.36587;22917.41543;28252.51449;24793.26676;20061.92555;28167.83866;22507.7314;23489.66389;24926.05504;23553.32329;22467.9627;32455.47185;25645.83143;33892.99757;42668.49087;39401.14029;39033.23522;41418.70995;41218.14487;47197.51532;47802.46847;40657.79111;48217.80655;51852.10196;46523.41114;49739.6753;65540.72244;61544.98391;60502.63514;71807.9999;68375.01822;65588.86005;58179.69094;47047.12494;39279.81652;44491.54427;50757.21255;48274.08368;41164.10459;47669.36537;49198.33155;42783.44164;40600.73857
 Kuru Meyve ve Mamulleri  ;ADANA;146;207;126;167;157;219;30;92;220;345;246;216;216;343;270;230;106;251;171;193;271;509;252;178;198.67557;324.35482;275;253;306;125;60;146.7672;421.09708;393.72369;254.9978;198.67557;160.27886;249.78516;264.99912;256.76607;236.7738;103.75996;65.94924;278.55119;413.15915;312.19179;375.20121;266.60599;319.70027;244.90541;379.43234;395.61927;177.40451;134.01417;294.49391;243.04497;339.34028;284.7974;357.03579;261.1455;341.96021;337.75335;267.06019;375.67059;152.72188;242.33178;269.2288;325.87638;521.46785;383.66084;383.66084;464.09803;379.72217;211.22566;287.16826;418.45691;266.20905;203.45789;175.06572;353.59033;365.8803;292.31336;308.99927;339.30268;429.29475;173.11015;401.51961;274.52771;152.71538;127.55264;88.15177;328.08443;302.23662;306.58076;411.36884;134.16578;446.71004;170.77262;138.86387;186.50413;131.03574;167.82535;54.34267;318.49454;199.82911;491.9549;199.369;302.77934;287.19444;274.00802;146.76225;247.82798;193.67312;106.88344;109.24306;536.86141;328.7642;445.71465;298.24049;274.22032;404.15263;416.20659;419.27001;136.41006;343.63697;117.34932;416.33131;356.38465;324.20219;577.51828;469.66783;368.7636;219.80884;419.81307;260.8196;351.46766;336.72057;219.09699
 Madencilik Ürünleri;ADANA;3440;2020;2014;4759;3522;3617;2404;2390;3531;3110;1926;1604;1613;2670;2524;3238;1624;3291;2271;2754;1627;3006;967;2736;3310.90066;1771.00241;4164;1812;3839;2012;1318;2578.50371;2548.89766;1216.94467;4614.52443;3310.90066;2601.6188;2681.80688;2226.9209;998.22408;2129.81572;1113.78692;1486.22593;722.45755;535.74898;534.19058;737.03119;564.24575;752.3969;653.97612;1092.78172;952.10886;646.1646;921.74935;1161.46004;853.60687;876.86639;913.35768;3940.39803;2947.40906;3592.38651;1155.7444;4420.30699;3195.87327;1772.47108;3530.39056;7287.36145;3149.04508;5386.75792;3574.28192;3574.28192;3934.60352;2983.62213;8083.3404;748.88745;8234.94891;1566.33586;7973.45703;3038.0894;1148.76289;1604.36419;1745.62387;1815.80161;1225.19819;508.18186;5957.78608;909.05698;2461.70266;1151.44713;895.71788;772.90223;1724.70325;1850.9385;2862.25557;1128.7297;1048.10792;953.96445;1197.04724;1562.71249;856.04861;801.54954;410.47904;217.27658;363.0101;557.57468;225.21567;426.6559;456.84698;294.77554;275.32027;433.19071;2123.54686;256.55022;270.87931;276.03486;652.00396;936.36166;1202.12865;848.55296;2058.3314;1550.82147;355.21931;285.04559;1455.08523;2534.15521;3447.33257;1285.74551;1945.75802;1965.1505;1493.98776;1097.2454;355.63673;2127.18555;568.17747;1414.21082;1357.50497;1051.8011;1095.58546
 Makine ve Aksamları;ADANA;4021;5568;5739;4395;4358;6954;3402;2312;4770;6397;3286;5286;5293;4625;3135;5379;3337;2439;3453;3057;3502;4780;5124;6351;3245.36831;4618.30677;4919;6359;3263;4297;2573;5168.28278;2598.37127;2399.23347;3198.20079;3243.17031;3915.50279;2925.51016;3890.47031;3582.19127;3797.10761;2893.23233;3173.22692;4803.99214;2395.21605;3554.23516;4446.82446;2647.58608;4867.65647;3864.87135;4922.92326;6559.61044;6877.16236;4038.20444;6582.51496;1732.42266;3297.36394;2274.64774;4061.71671;3528.82623;2851.82823;5690.01166;7864.99007;11410.06342;9969.89815;6923.20664;6916.7376;4744.02323;3570.00209;4495.12008;4495.12008;9448.40014;4812.09551;8869.40445;8619.65103;13128.8417;4781.48695;5264.30759;5291.35478;5038.74368;7679.30155;7743.23894;8228.88201;7188.63763;7260.74512;6694.08399;7491.89366;8863.10191;6454.08374;7067.5678;4910.91417;4303.12668;5965.38453;6049.24448;5852.28635;6678.94993;9277.09395;7985.11788;5290.46081;3698.68915;5120.72627;6507.71455;5242.69341;5251.85207;5003.64557;6339.32388;8424.57446;10523.07947;9400.07325;11716.41862;13574.61822;8642.50022;8372.73113;7966.30557;6272.6139;9445.33889;7062.83932;8063.23013;12269.64799;8735.53058;10772.10063;11164.19385;15773.74788;8951.83342;9018.06011;8841.40229;11096.88834;10758.24947;12565.15216;13491.13003;12760.01994;11035.39005;9505.7362;15719.19618;8082.96787;10356.20105;12674.29631;5323.91191
 Meyve Sebze Mamulleri ;ADANA;643;3987;978;3493;1071;3308;3790;655;3471;639;3218;1019;1019;962;971;1476;1032;1231;1150;1407;1080;1024;857;699;642.41841;1233.78161;1008;952;955;1261;833;1103.67906;1457.27968;831.77315;1159.93212;642.41841;1183.35278;1675.52334;1269.0995;1115.55611;1420.43624;1326.11849;820.03014;1416.39247;1376.03675;898.539;1128.52446;770.61464;820.47119;1704.43142;953.32302;1332.69365;981.25994;987.2278;1367.30518;1255.33629;1128.522;985.12666;1068.72337;991.31024;1237.90546;1424.4306;1367.17423;1652.0493;1009.47156;1340.571;1282.35758;1046.68354;1096.45603;1123.82688;1123.82688;1203.57925;1281.48324;1694.93022;1515.56662;1746.63834;1752.18324;1890.586;722.00972;1293.12941;1359.62854;971.89046;868.23094;1232.53447;1392.71729;1905.43756;2318.8038;1337.10091;803.73993;1446.28268;986.33393;1235.02561;1763.84237;1676.27817;1309.94007;1694.44604;1814.98976;2104.07672;1478.89677;1077.96067;1937.8171;1802.79962;1744.80953;1844.41442;1310.90916;1212.87799;1767.46228;1614.63001;2476.90632;3085.65203;2434.1868;1868.19766;3334.9189;2730.69299;3954.0878;3211.4992;2167.28024;2456.26912;2088.12599;1931.09676;2383.85653;4112.57553;4469.00895;3878.19668;1783.77474;2337.36636;3872.90415;3764.85709;3373.10528;2899.22463;2851.62978;3883.13863;3049.32901;4667.82601;3433.04738;3436.95733;3071.2267;3843.7288
 Mobilya, Kağıt ve Orman Ürünleri;ADANA;9463;7972;8861;8786;8047;9965;8950;11128;9567;9206;9829;8474;8474;10469;10023;9092;10287;9849;9776;14280;11135;14784;12623;10261;0.0;0.0;7067;7894;7319;6784;6034;7561.15399;6636.2147;8086.169;10228.38127;6150.20786;6473.1365;6523.07776;7052.7475;5891.32807;7059.58493;7078.9298;6239.49839;5300.38385;7377.34537;8490.73543;6918.30226;6059.68106;6254.26389;5965.58996;7184.05569;6400.78482;8383.72029;5608.53146;6835.9519;6318.4759;6588.64741;8677.11447;8518.17295;5800.77391;6778.88301;8251.05717;8755.49851;7575.69911;6134.8024;5776.09957;7158.76452;5858.56352;7302.00424;7382.27891;7382.27891;6626.21645;6341.06629;9525.56201;8229.22618;7988.09411;6419.65752;7278.96072;6686.35727;6324.21048;7853.9545;10789.03387;10262.96799;7900.01829;8303.93984;8931.81882;7360.51165;10397.05261;6291.00498;9415.41612;7398.24056;10579.28699;9123.05693;11101.71206;11737.41202;7781.08413;8625.80392;6951.34586;4472.03502;7957.3015;9235.48;10041.18814;8907.99008;11951.72926;12341.71936;12690.1484;11606.95152;7470.04532;9918.69348;12687.39351;10609.0759;8503.52684;12666.51483;8291.6981;13679.69953;12554.27553;10818.67905;11996.95746;11187.75646;7704.27718;9445.64381;11120.10706;13278.73682;9924.94773;11834.6534;9827.63351;15111.35578;12842.00405;10652.38394;12324.9366;12324.37311;9292.66473;7420.88851;10383.07173;11719.04914;10845.4239;10961.99417;10527.96696
